Plot ID,Tube ID,Genotype
9_156,T519,PHCTVA008
10_1,T520,PI 597950
10_2,T521,DKS40-76
10_3,T522,PHCTVA003
10_4,T523,G37
10_6,T524,PI 656015
10_7,T525,PI 597946
10_8,T526,PI 641849
10_9,T527,PI 597965
10_10,T528,PI 576339
10_12,T529,PI 576347
10_13,T530,PI 152651
10_14,T531,PI 601556
10_15,T532,ADV G1329
10_16,T533,PI 534096
10_17,T534,PI 656029
10_18,T535,PI 656109
10_19,T536,ADV G2168IG
10_21,T537,G2
10_22,T538,PI 533912
10_23,T539,PI 601716
10_24,T540,PI 656077
10_25,T541,BMR45S
10_26,T542,PI 656035
10_27,T543,PI 534117
10_28,T544,PI 35038
10_29,T545,SP 68M57
10_30,T546,PI 576366
10_31,T547,PI 569459
10_32,T548,PI 597980
10_33,T549,PI 543243
10_34,T550,PHCTVA009
10_36,T551,PI 533937
10_37,T552,PI 561926
10_38,T553,PI 570071
10_39,T554,PI 601720
10_40,T555,PI 533913
10_41,T556,PI 533979
10_42,T557,PI 533838
10_43,T558,PI 533754
10_45,T559,PI 533776
10_46,T560,PI 533866
10_47,T561,ADV G1153
10_48,T562,PI 655999
10_49,T563,PI 533949
10_50,T564,PHCTVA002
10_53,T565,PI 562621
10_54,T566,PI 533876
10_55,T567,PI 533997
10_56,T568,PI 533762
10_57,T569,PI 534139
10_58,T570,PI 597972
10_59,T571,PHCTVA010
10_60,T572,PI 597945
10_61,T573,SP 43M80
10_62,T574,PI 543246
10_63,T575,PI 576350
10_64,T576,PHCTVA005
10_65,T577,PI 597982
10_66,T578,PI 656019
10_67,T579,PI 602600
10_68,T580,PI 656085
10_69,T581,251
10_70,T582,PI 601744
10_71,T583,PI 533830
10_72,T584,PI 659693
10_73,T585,PI 534046
10_74,T586,PI 534047
10_75,T587,PI 595720
10_76,T588,PI 656119
10_77,T589,PI 554652
12_130,T590,PI 655974
12_131,T591,SP 2774 BMR
12_132,T592,F382
12_133,T593,HIKANE II
12_134,T594,PI 180348
12_135,T595,PI 656023
12_136,T596,PI 533970
12_137,T597,PI 653617
12_138,T598,PI 595745
12_139,T599,PI 533785
12_140,T600,PI 329440
12_141,T601,PI 656074
12_142,T602,PI 655995
12_143,T603,PI 660557
12_144,T604,PI 533986
12_145,T605,PI 154844
12_146,T606,PI 533936
12_147,T607,PI 533987
12_148,T608,PI 548797
12_150,T609,PI 533985
12_151,T610,A.522xR.15
12_153,T611,PI 656022
12_154,T612,PI 533996
12_155,T613,PI 656105
12_156,T614,PI 533940
13_1,T615,PI 594355
13_2,T616,PI 574407
13_3,T617,PI 576376
13_4,T618,PI 329435
13_5,T619,PI 533757
13_6,T620,PI 534075
13_7,T621,PI 642791
13_8,T622,PI 576428
13_9,T623,PI 576333
13_10,T624,PI 534063
13_11,T625,PI 533769
13_12,T626,PI 601264
13_13,T627,PI 655977
13_14,T628,PI 602599
13_16,T629,PI 656120
13_17,T630,PI 533957
13_18,T631,PI 655979
13_19,T632,PI 594354
13_20,T633,PI 629059
13_21,T634,PI 601721
13_22,T635,PI 595702
13_23,T636,PI 534104
13_24,T637,PI 601553
13_25,T638,PI 533989
13_26,T639,PI 576352
13_27,T640,PI 655993
13_28,T641,PI 656090
13_29,T642,PI 533758
13_30,T643,PI 576345
13_31,T644,PHCTVA006
13_32,T645,PI 533948
13_33,T646,PI 533954
13_34,T647,PI 655991
13_35,T648,PI 533955
13_37,T649,PI 24969
13_38,T650,PI 596332
13_39,T651,A.506xR.15
13_40,T652,PI 533821
13_42,T653,PI 655998
13_43,T654,PHCTVA007
13_44,T655,PI 655990
13_45,T656,G234
13_46,T657,PI 534112
13_47,T658,PI 655975
13_48,T659,PI 597967
13_49,T660,PI 561071
13_50,T661,PI 656013
13_52,T662,PI 576340
13_53,T663,PI 534115
13_54,T664,PI 542718
13_55,T665,PI 656005
13_56,T666,PI 533766
13_57,T667,PI 156178
13_58,T668,PI 655996
13_59,T669,PI 595744
13_60,T670,PI 533799
13_61,T671,DKS51-01
13_62,T672,PI 642998
13_63,T673,PI 555457
13_64,T674,Sweetleaf II
13_65,T675,PI 533956
13_66,T676,PI 554654
13_67,T677,PI 595714
13_69,T678,PI 534108
13_70,T679,G8
13_72,T680,PI 534145
13_73,T681,PI 601557
13_75,T682,PI 597961
13_76,T683,PI 576364
13_77,T684,PI 576393
13_78,T685,PI 656000
13_79,T686,PHCTVA001
13_80,T687,PI 595739
13_81,T688,PI 533938
13_82,T689,PI 655972
13_83,T690,PI 554648
13_85,T691,PI 656036
13_86,T692,PI 533915
13_87,T693,PI 543247
13_88,T694,ADV G2165
13_89,T695,PI 533863
13_90,T696,PI 576422
13_92,T697,PI 576375
13_93,T698,PI 566819
13_94,T699,Nutricane II
13_95,T700,PI 656055
13_96,T701,PI 597966
13_97,T702,PI 533833
13_98,T703,PI 576437
13_99,T704,PI 533752
13_100,T705,PI 533903
13_101,T706,PI 576348
13_102,T707,DKS44-07
13_103,T708,PI 533919
13_104,T709,PI 576425
13_105,T710,PI 534105
13_106,T711,PI 576373
13_107,T712,PI 534099
13_109,T713,PI 533976
13_110,T714,PHCTVA004
13_111,T715,PI 656052
13_112,T716,PI 656111
13_113,T717,F430
13_114,T718,PI 552856
13_116,T719,PI 595718
13_117,T720,PI 656065
13_118,T721,PI 533841
13_119,T722,PI 651496
13_120,T723,PI 655978
13_121,T724,PI 533961
13_122,T725,PI 576435
13_123,T726,PI 659694
13_124,T727,PI 562623
13_125,T728,SP7715
13_126,T729,PI 659696
13_127,T730,PI 595740
13_128,T731,PI 601756
13_129,T732,PI 533845
13_130,T733,DKS45-60
13_131,T734,PI 656025
13_133,T735,PI 533750
13_134,T736,PI 576387
13_135,T737,PI 629034
13_136,T738,PI 533939
13_137,T739,PI 601415
13_138,T740,PI 554646
13_139,T741,PI 576394
13_140,T742,PI 513676
13_141,T743,PI 533991
13_142,T744,PI 655994
13_143,T745,PI 601717
13_144,T746,PI 656037
13_146,T747,PI 576359
13_147,T748,PI 656106
13_148,T749,PI 534054
13_149,T750,PI 655976
13_150,T751,PI 660563
13_151,T752,PI 642793
13_152,T753,A.543xR.46
13_153,T754,PI 534123
13_154,T755,PI 597951
13_155,T756,PI 656046
15_76,T757,PI 601816
15_77,T758,PI 596567
15_78,T759,PI 533794
15_79,T760,PI 656059
15_80,T761,PI 656014
15_81,T762,PI 533964
15_82,T763,PI 154987
15_83,T764,ADV F7424
15_84,T765,PI 656008
15_85,T766,PI 660565
15_86,T767,PI 533901
15_87,T768,PI 576434
15_89,T769,PI 629040
15_90,T770,Nutrichoice II
15_91,T771,PI 533962
15_92,T772,PI 656048
15_93,T773,ADV F8322
15_94,T774,PI 540816
15_96,T775,S425
15_97,T776,PI 542406
15_98,T777,PI 656056
15_99,T778,PI 564165
15_101,T779,A.506xR.43
15_102,T780,PI 564164
15_104,T781,PI 534137
15_105,T782,PI 276837
15_106,T783,PI 574398
15_107,T784,PI 656010
15_108,T785,NK300
15_109,T786,PI 656011
15_110,T787,PI 533807
15_111,T788,PI 656071
15_112,T789,PI 656043
15_113,T790,PI 656057
15_115,T791,PI 533761
15_116,T792,F442
15_117,T793,PI 656068
15_118,T794,AF7401
15_119,T795,PI 655970
15_120,T796,PI 601554
15_121,T797,PI 655986
15_122,T798,AS5501
15_123,T799,PI 656076
15_124,T800,PI 533921
15_125,T801,PI 655973
15_126,T802,A.506xR.52
15_127,T803,PI 533869
15_128,T804,PI 656044
15_129,T805,PI 601555
15_130,T806,PI 655981
15_131,T807,PI 656017
15_132,T808,PI 552861
15_133,T809,PI 656117
15_134,T810,A.542xR.43
15_135,T811,F27
15_136,T812,Sordan Headless
15_137,T813,PI 576380
15_138,T814,ADV F8484IG
15_139,T815,PI 597964
15_140,T816,PI 656032
15_141,T817,ADV S6520
15_142,T818,PI 656016
15_143,T819,PI 329301
15_144,T820,PI 565121
15_145,T821,PI 656018
15_147,T822,PI 276816
15_148,T823,PI 656082
15_149,T824,PI 534133
15_150,T825,PI 576130
15_151,T826,PI 574455
15_152,T827,PI 561073
15_153,T828,PI 533800
15_154,T829,PI 656034
15_155,T830,PI 597957
15_156,T831,A.506xR.65
16_2,T832,PI 659691
16_3,T833,PI 534157
16_4,T834,PI 554649
16_5,T835,PI 534114
16_6,T836,PI 533760
16_7,T837,PI 656027
16_8,T838,PI 609456
16_9,T839,PI 533824
16_10,T840,PI 533792
16_11,T841,A. 535xR.54
16_12,T842,PI 656118
16_13,T843,PI 564163
16_15,T844,PI 656050
16_16,T845,PI 533855
16_18,T846,A.522xR.42
16_19,T847,PI 656024
16_20,T848,PI 656031
16_21,T849,PI 561472
16_22,T850,A.506xR.54
16_23,T851,PI 533972
16_24,T852,PI 561072
16_25,T853,PI 656093
16_26,T854,PI 534163
16_27,T855,PI 656070
16_28,T856,PI 656012
16_29,T857,PI 533924
16_30,T858,PI 533965
16_31,T859,PI 534127
16_33,T860,PI 656039
16_34,T861,PI 655988
