,,,,,Total Root Area (pixels²) at 0.3 confidence - Yolo Model v41,,,,,,,
Type,Plot ID,Genotype,Tube ID,# of Depths,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,"The model doesn't really overestimate, so there is usually at least X amount of pixels in the depth"
HPI,9_156,PHCTVA008,T519,3,691,1603,0,,,,,1697.15 seconds to process 289 images
HPI,10_1,PI 597950,T520,3,33752,24298,5865,,,,,
HPI,10_2,DKS40-76,T521,3,7521,7045,0,,,,,
HPI,10_3,PHCTVA003,T522,3,79021,34035,0,,,,,
HPI,10_4,G37,T523,3,35700,2055,0,,,,,
HPI,10_6,PI 656015,T524,3,0,0,785,,,,,
HPI,10_7,PI 597946,T525,3,0,0,590,,,,,
HPI,10_8,PI 641849,T526,5,87850,125952,83561,36528,1346,,,
HPI,10_9,PI 597965,T527,3,7087,0,0,,,,,
HPI,10_10,PI 576339,T528,3,7746,19606,3796,,,,,
HPI,10_12,PI 576347,T529,3,11455,1292,1748,,,,,
HPI,10_13,PI 152651,T530,3,24731,7565,0,,,,,
HPI,10_14,PI 601556,T531,4,82604,140095,134830,800,,,,
HPI,10_15,ADV G1329,T532,5,97123,55230,2117,13813,13924,,,
HPI,10_16,PI 534096,T533,5,58390,226012,149938,9789,2565,,,
HPI,10_17,PI 656029,T534,5,54535,63993,8305,11927,140,,,
HPI,10_18,PI 656109,T535,3,30085,5731,5294,,,,,
HPI,10_19,ADV G2168IG,T536,3,32500,12717,16383,,,,,
HPI,10_21,G2,T537,7,65549,100346,118469,60756,18056,43060,3791,
HPI,10_22,PI 533912,T538,4,24393,5024,3337,4707,,,,
HPI,10_23,PI 601716,T539,4,47662,70771,68913,24525,,,,
HPI,10_24,PI 656077,T540,5,46018,104652,114884,50366,0,,,
HPI,10_25,BMR45S,T541,5,29775,53024,102638,70286,4853,,,
HPI,10_26,PI 656035,T542,4,62400,82430,36673,10551,,,,
HPI,10_27,PI 534117,T543,5,78649,90555,47252,9126,0,,,
HPI,10_28,PI 35038,T544,6,95816,163522,164164,13850,15284,3547,,
HPI,10_29,SP 68M57,T545,6,61883,167807,243202,116533,30996,32366,,
HPI,10_30,PI 576366,T546,6,116532,242757,183618,80054,28061,237,,
HPI,10_31,PI 569459,T547,6,68933,107029,143427,127112,14347,0,,
HPI,10_32,PI 597980,T548,4,60616,57995,74630,42763,,,,
HPI,10_33,PI 543243,T549,,,,,,,,,
HPI,10_34,PHCTVA009,T550,3,112087,133105,60479,,,,,
HPI,10_36,PI 533937,T551,6,43159,55760,18651,10557,4202,0,,
HPI,10_37,PI 561926,T552,3,50003,2023,1170,,,,,
HPI,10_38,PI 570071,T553,5,55066,59567,168426,52535,19544,,,
HPI,10_39,PI 601720,T554,3,53318,53625,109910,,,,,
HPI,10_40,PI 533913,T555,3,26514,20068,21153,,,,,
HPI,10_41,PI 533979,T556,3,72275,67461,56225,,,,,
HPI,10_42,PI 533838,T557,3,63213,169293,47385,,,,,
HPI,10_43,PI 533754,T558,5,26258,52133,22763,3895,388,,,
HPI,10_45,PI 533776,T559,6,112746,62366,119768,189649,17246,3825,,
HPI,10_46,PI 533866,T560,4,40782,71263,42471,7083,6632,,,
HPI,10_47,ADV G1153,T561,7,71896,241659,200810,198497,53448,6557,0,
HPI,10_48,PI 655999,T562,5,94411,170298,99495,95594,27304,,,
HPI,10_49,PI 533949,T563,6,47606,135098,75054,35260,10604,13134,,
HPI,10_50,PHCTVA002,T564,5,53145,117719,200111,115661,12033,,,
HPI,10_53,PI 562621,T565,,,,,,,,,
HPI,10_54,PI 533876,T566,,,,,,,,,
HPI,10_55,PI 533997,T567,,,,,,,,,
HPI,10_56,PI 533762,T568,,,,,,,,,
HPI,10_57,PI 534139,T569,,,,,,,,,
HPI,10_58,PI 597972,T570,,,,,,,,,
HPI,10_59,PHCTVA010,T571,,,,,,,,,
HPI,10_60,PI 597945,T572,5,37547,173225,160625,36618,4807,,,
HPI,10_61,SP 43M80,T573,3,53675,100272,2485,,,,,
HPI,10_62,PI 543246,T574,,,,,,,,,
HPI,10_63,PI 576350,T575,5,20888,39139,3527,3098,0,,,
HPI,10_64,PHCTVA005,T576,6,41165,102946,60319,99503,16400,0,,
HPI,10_65,PI 597982,T577,6,29917,68289,50390,53552,12016,0,,
HPI,10_66,PI 656019,T578,,,,,,,,,
HPI,10_67,PI 602600,T579,7,95464,182875,173176,141073,105929,21322,0,
HPI,10_68,PI 656085,T580,7,53791,89043,130951,62344,3784,3526,7469,
HPI,10_69,251,T581,7,52831,94079,109482,108577,22827,9731,328,
HPI,10_70,PI 601744,T582,5,79436,125069,197544,108484,59786,,,
HPI,10_71,PI 533830,T583,7,74492,60974,68932,32392,78720,37063,82854,
HPI,10_72,PI 659693,T584,4,33918,74495,90686,22777,,,,
HPI,10_73,PI 534046,T585,6,51242,82275,48714,25244,2820,0,,
HPI,10_74,PI 534047,T586,7,69645,74481,111137,71186,3406,20159,15942,
HPI,10_75,PI 595720,T587,7,59552,64244,221101,140511,85339,79115,61843,
HPI,10_76,PI 656119,T588,7,31392,109780,117610,107809,19100,6623,10752,
HPI,10_77,PI 554652,T589,7,25402,113274,55990,22256,44754,23883,12330,
HPI,12_130,PI 655974,T590,7,45729,16570,43189,21479,13713,36343,51614,
HPI,12_131,SP 2774 BMR,T591,7,78290,89082,37168,6597,31055,72396,1050,
HPI,12_132,F382,T592,7,40655,51618,24302,66243,51836,32723,62430,
HPI,12_133,HIKANE II,T593,7,39014,72341,99468,137384,20810,79062,68537,
HPI,12_134,PI 180348,T594,7,29692,96282,36739,24813,10906,12727,31542,
HPI,12_135,PI 656023,T595,7,20976,32203,43675,103436,101859,150262,184797,
HPI,12_136,PI 533970,T596,7,27631,42338,115006,121609,74679,45361,12580,
HPI,12_137,PI 653617,T597,7,87520,33323,25425,15813,3211,7463,5774,
