sample_id,genotype_raw,tube_id,plot_id,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7,depth_sum
PI_656085,PI 656085,T580,10_68,53791.0,89043.0,130951.0,62344.0,3784.0,3526.0,7469.0,350908.0
PI_533830,PI 533830,T583,10_71,74492.0,60974.0,68932.0,32392.0,78720.0,37063.0,82854.0,435427.0
PI_534047,PI 534047,T586,10_74,69645.0,74481.0,111137.0,71186.0,3406.0,20159.0,15942.0,365956.0
PI_595720,PI 595720,T587,10_75,59552.0,64244.0,221101.0,140511.0,85339.0,79115.0,61843.0,711705.0
PI_656119,PI 656119,T588,10_76,31392.0,109780.0,117610.0,107809.0,19100.0,6623.0,10752.0,403066.0
PI_655974,PI 655974,T590,12_130,45729.0,16570.0,43189.0,21479.0,13713.0,36343.0,51614.0,228637.0
PI_656023,PI 656023,T595,12_135,20976.0,32203.0,43675.0,103436.0,101859.0,150262.0,184797.0,637208.0
PI_533970,PI 533970,T596,12_136,27631.0,42338.0,115006.0,121609.0,74679.0,45361.0,12580.0,439204.0
PI_533785,PI 533785,T599,12_139,20758.0,21311.0,45365.0,43878.0,21830.0,44163.0,48836.0,246141.0
PI_329440,PI 329440,T600,12_140,26012.0,25662.0,44812.0,129833.0,69411.0,18524.0,18563.0,332817.0
PI_656074,PI 656074,T601,12_141,45002.0,29349.0,82738.0,100962.0,29382.0,75680.0,242048.0,605161.0
PI_655995,PI 655995,T602,12_142,41769.0,105392.0,125118.0,142649.0,178911.0,23118.0,14374.0,631331.0
PI_533986,PI 533986,T604,12_144,42065.0,36237.0,134788.0,134092.0,59833.0,44745.0,87662.0,539422.0
PI_533936,PI 533936,T606,12_146,17889.0,69895.0,153165.0,56436.0,69888.0,95276.0,68401.0,530950.0
PI_533987,PI 533987,T607,12_147,42246.0,119428.0,198068.0,223039.0,182938.0,218774.0,140150.0,1124643.0
PI_548797,PI 548797,T608,12_148,32883.0,69525.0,115821.0,250203.0,281337.0,191037.0,41411.0,982217.0
PI_533985,PI 533985,T609,12_150,20433.0,25787.0,101854.0,232681.0,88431.0,85793.0,37831.0,592810.0
PI_576376,PI 576376,T617,13_3,23817.0,11326.0,56392.0,10593.0,4245.0,1733.0,3486.0,111592.0
PI_329435,PI 329435,T618,13_4,94890.0,73706.0,132711.0,111248.0,121576.0,122035.0,,656166.0
PI_642791,PI 642791,T621,13_7,73053.0,61765.0,19244.0,31254.0,29489.0,10708.0,8761.0,234274.0
PI_576428,PI 576428,T622,13_8,7243.0,10890.0,16201.0,15731.0,9014.0,5886.0,0.0,64965.0
PI_534063,PI 534063,T624,13_10,87098.0,121083.0,221415.0,76995.0,80364.0,109455.0,97570.0,793980.0
PI_533769,PI 533769,T625,13_11,27393.0,38522.0,62496.0,39014.0,76099.0,34676.0,82446.0,360646.0
PI_655977,PI 655977,T627,13_13,42702.0,35041.0,63546.0,70410.0,4949.0,24191.0,22549.0,263388.0
PI_656120,PI 656120,T629,13_16,27479.0,140231.0,204905.0,94666.0,111578.0,91142.0,98170.0,768171.0
PI_533957,PI 533957,T630,13_17,21971.0,101118.0,146603.0,53701.0,108156.0,48463.0,57977.0,537989.0
PI_655979,PI 655979,T631,13_18,9579.0,33575.0,38440.0,23323.0,44452.0,91915.0,141956.0,383240.0
PI_595702,PI 595702,T635,13_22,39510.0,44483.0,32845.0,31486.0,52717.0,52806.0,23992.0,277839.0
PI_534104,PI 534104,T636,13_23,26249.0,49733.0,102332.0,85402.0,34161.0,18142.0,12448.0,328467.0
PI_533989,PI 533989,T638,13_25,20751.0,44113.0,127869.0,232502.0,119144.0,59254.0,16085.0,619718.0
PI_655993,PI 655993,T640,13_27,16742.0,62622.0,91590.0,84762.0,151614.0,94492.0,43935.0,545757.0
PI_533758,PI 533758,T642,13_29,46438.0,11158.0,59056.0,81712.0,38163.0,94948.0,85238.0,416713.0
PI_533954,PI 533954,T646,13_33,32377.0,19784.0,52117.0,16991.0,19536.0,29038.0,42631.0,212474.0
PI_533955,PI 533955,T648,13_35,37338.0,61739.0,52265.0,10092.0,19425.0,48163.0,25622.0,254644.0
PI_533821,PI 533821,T652,13_40,,,,,,,,0
PI_655998,PI 655998,T653,13_42,,,,,,,,0
PI_655975,PI 655975,T658,13_47,,,,,,,,0
PI_597967,PI 597967,T659,13_48,,,,,,,,0
PI_656013,PI 656013,T661,13_50,,,,,,,,0
PI_576340,PI 576340,T662,13_52,,,,,,,,0
PI_534115,PI 534115,T663,13_53,,,,,,,,0
PI_542718,PI 542718,T664,13_54,,,,,,,,0
PI_656005,PI 656005,T665,13_55,,,,,,,,0
PI_533766,PI 533766,T666,13_56,,,,,,,,0
PI_655996,PI 655996,T668,13_58,,,,,,,,0
PI_595744,PI 595744,T669,13_59,,,,,,,,0
PI_533799,PI 533799,T670,13_60,96619.0,86817.0,147495.0,190029.0,116712.0,132171.0,46625.0,816468.0
PI_642998,PI 642998,T672,13_62,36559.0,78487.0,126401.0,11821.0,76429.0,31116.0,45391.0,406204.0
PI_534108,PI 534108,T678,13_69,7417.0,23948.0,45369.0,26277.0,11215.0,38175.0,114126.0,266527.0
PI_597961,PI 597961,T682,13_75,95425.0,135886.0,193987.0,170321.0,50187.0,101141.0,53437.0,800384.0
PI_576364,PI 576364,T683,13_76,64561.0,55754.0,44575.0,20052.0,50819.0,220653.0,173623.0,630037.0
PI_576393,PI 576393,T684,13_77,57665.0,72533.0,172675.0,97380.0,62546.0,123025.0,104283.0,690107.0
PI_656000,PI 656000,T685,13_78,35883.0,88167.0,336018.0,294491.0,321878.0,406222.0,207427.0,1690086.0
PI_595739,PI 595739,T687,13_80,32413.0,50563.0,111686.0,122481.0,112761.0,159908.0,169232.0,759044.0
PI_533938,PI 533938,T688,13_81,30723.0,65423.0,192349.0,84572.0,128276.0,169452.0,112064.0,782859.0
PI_656036,PI 656036,T691,13_85,34718.0,65545.0,93294.0,114018.0,115598.0,139428.0,213533.0,776134.0
PI_533915,PI 533915,T692,13_86,,,,,,,,0
PI_533863,PI 533863,T695,13_89,,,,,,,,0
PI_576422,PI 576422,T696,13_90,,,,,,,,0
PI_576375,PI 576375,T697,13_92,63664.0,77883.0,120756.0,149795.0,229964.0,295420.0,200518.0,1138000.0
PI_656055,PI 656055,T700,13_95,,,,,,,,0
PI_597966,PI 597966,T701,13_96,23681.0,23821.0,39738.0,57296.0,54648.0,95943.0,84675.0,379802.0
PI_533833,PI 533833,T702,13_97,72612.0,116734.0,174523.0,210463.0,197498.0,155713.0,135396.0,1062939.0
PI_576437,PI 576437,T703,13_98,79031.0,174064.0,303681.0,243108.0,186236.0,52231.0,105976.0,1144327.0
PI_533919,PI 533919,T708,13_103,63900.0,137176.0,184517.0,82245.0,90171.0,203948.0,260617.0,1022574.0
PI_576425,PI 576425,T709,13_104,37770.0,92131.0,184607.0,77701.0,43596.0,43013.0,79568.0,558386.0
PI_534105,PI 534105,T710,13_105,38539.0,50088.0,171218.0,141419.0,96934.0,191237.0,119009.0,808444.0
PI_576373,PI 576373,T711,13_106,31658.0,34600.0,113776.0,251405.0,89946.0,180832.0,59601.0,761818.0
PI_534099,PI 534099,T712,13_107,38298.0,67720.0,107464.0,108545.0,118433.0,168222.0,149821.0,758503.0
PI_533976,PI 533976,T713,13_109,88874.0,61314.0,61985.0,40464.0,55885.0,20572.0,29907.0,359001.0
PI_656052,PI 656052,T715,13_111,15182.0,54992.0,12856.0,48330.0,98582.0,90356.0,11354.0,331652.0
PI_656111,PI 656111,T716,13_112,47390.0,92759.0,251101.0,274883.0,256065.0,219474.0,145284.0,1286956.0
PI_595718,PI 595718,T719,13_116,13286.0,104270.0,211195.0,244490.0,114818.0,132215.0,81751.0,902025.0
PI_533841,PI 533841,T721,13_118,22785.0,69019.0,209242.0,209242.0,87037.0,88608.0,83548.0,769481.0
PI_651496,PI 651496,T722,13_119,19730.0,42271.0,102636.0,182831.0,133240.0,106885.0,23708.0,611301.0
PI_655978,PI 655978,T723,13_120,42411.0,91453.0,135333.0,255713.0,395565.0,146170.0,175370.0,1242015.0
PI_533961,PI 533961,T724,13_121,38851.0,50247.0,66201.0,79633.0,68301.0,46006.0,77241.0,426480.0
PI_576435,PI 576435,T725,13_122,31551.0,121036.0,133300.0,109376.0,63050.0,147556.0,62904.0,668773.0
PI_659694,PI 659694,T726,13_123,97846.0,133225.0,154531.0,186126.0,150050.0,125052.0,135115.0,981945.0
PI_659696,PI 659696,T729,13_126,54747.0,66635.0,189401.0,207191.0,133026.0,162456.0,128879.0,942335.0
PI_533845,PI 533845,T732,13_129,71881.0,128475.0,210719.0,261284.0,158386.0,200980.0,34989.0,1066714.0
PI_656025,PI 656025,T734,13_131,18260.0,52341.0,68749.0,129508.0,101418.0,46514.0,6645.0,423435.0
PI_533750,PI 533750,T735,13_133,16768.0,30366.0,35213.0,12910.0,9729.0,66121.0,36243.0,207350.0
PI_576387,PI 576387,T736,13_134,74167.0,132302.0,209660.0,151276.0,44060.0,82243.0,52927.0,746635.0
PI_533939,PI 533939,T738,13_136,71022.0,72882.0,96106.0,225660.0,140224.0,73834.0,90875.0,770603.0
PI_576394,PI 576394,T741,13_139,121230.0,169497.0,179402.0,218476.0,155389.0,148608.0,137008.0,1129610.0
PI_533991,PI 533991,T743,13_141,22347.0,37229.0,302150.0,321356.0,96773.0,138096.0,143001.0,1060952.0
PI_655994,PI 655994,T744,13_142,34978.0,13468.0,34221.0,85382.0,233152.0,155376.0,170880.0,727457.0
PI_656037,PI 656037,T746,13_144,52194.0,52084.0,91036.0,83644.0,128162.0,153514.0,23736.0,584370.0
PI_576359,PI 576359,T747,13_146,27474.0,83727.0,225682.0,178060.0,56918.0,126429.0,226611.0,924901.0
PI_656106,PI 656106,T748,13_147,2842.0,8829.0,82281.0,29319.0,11080.0,47687.0,18159.0,200197.0
PI_534054,PI 534054,T749,13_148,36020.0,65278.0,152769.0,129229.0,185347.0,179367.0,116067.0,864077.0
PI_655976,PI 655976,T750,13_149,42419.0,90976.0,62127.0,67623.0,86992.0,9904.0,15489.0,375530.0
PI_642793,PI 642793,T752,13_151,25217.0,74385.0,32935.0,5707.0,1529.0,9017.0,53426.0,202216.0
PI_534123,PI 534123,T754,13_153,0.0,50146.0,103404.0,26697.0,36829.0,23910.0,19714.0,260700.0
PI_597951,PI 597951,T755,13_154,19777.0,128757.0,208616.0,116716.0,106298.0,108537.0,124152.0,812853.0
PI_656046,PI 656046,T756,13_155,74608.0,52862.0,62612.0,163867.0,130042.0,161121.0,80825.0,725937.0
PI_601816,PI 601816,T757,15_76,30940.0,98447.0,78025.0,15520.0,113265.0,310325.0,169465.0,815987.0
PI_533794,PI 533794,T759,15_78,33484.0,57990.0,56032.0,53848.0,69850.0,63105.0,60244.0,394553.0
PI_656059,PI 656059,T760,15_79,40602.0,48520.0,40446.0,41519.0,28639.0,92318.0,154680.0,446724.0
PI_656014,PI 656014,T761,15_80,101087.0,133385.0,142933.0,83178.0,130571.0,103107.0,50533.0,744794.0
PI_533964,PI 533964,T762,15_81,184265.0,176221.0,72260.0,144858.0,208564.0,282642.0,98317.0,1167127.0
PI_656008,PI 656008,T765,15_84,102712.0,67944.0,69205.0,234807.0,340103.0,273583.0,194554.0,1282908.0
PI_533901,PI 533901,T767,15_86,22979.0,139322.0,61022.0,43716.0,137765.0,106276.0,48118.0,559198.0
PI_629040,PI 629040,T769,15_89,32399.0,54056.0,30861.0,34127.0,22509.0,49592.0,45451.0,268995.0
PI_533962,PI 533962,T771,15_91,54078.0,139700.0,190509.0,182734.0,105750.0,88237.0,158374.0,919382.0
PI_656048,PI 656048,T772,15_92,46720.0,43117.0,129187.0,79496.0,37497.0,104279.0,51688.0,491984.0
PI_656056,PI 656056,T776,15_98,69807.0,97167.0,120235.0,72593.0,57573.0,138605.0,53702.0,609682.0
PI_564165,PI 564165,T777,15_99,26853.0,76203.0,176876.0,214007.0,201332.0,195358.0,156959.0,1047588.0
PI_564164,PI 564164,T779,15_102,,,,,,,,0
PI_534137,PI 534137,T780,15_104,,,,,,,,0
PI_276837,PI 276837,T781,15_105,,,,,,,,0
PI_656010,PI 656010,T783,15_107,,,,,,,,0
PI_656011,PI 656011,T785,15_109,,,,,,,,0
PI_533807,PI 533807,T786,15_110,,,,,,,,0
PI_656071,PI 656071,T787,15_111,,,,,,,,0
PI_656043,PI 656043,T788,15_112,61752.0,119551.0,73761.0,68348.0,83967.0,104060.0,123895.0,635334.0
PI_656057,PI 656057,T789,15_113,141803.0,28699.0,37692.0,82586.0,70458.0,93139.0,58784.0,513161.0
PI_533761,PI 533761,T790,15_115,35041.0,87957.0,150299.0,165395.0,101888.0,127822.0,99393.0,767795.0
PI_656068,PI 656068,T791,15_117,37768.0,102784.0,53868.0,70701.0,83704.0,128953.0,60620.0,538398.0
PI_655970,PI 655970,T793,15_119,69553.0,74829.0,89824.0,73684.0,130937.0,96253.0,103377.0,638457.0
