sample_id,n_records,total_root_area
PI_329440,1,332817.0
PI_533750,1,207350.0
PI_533758,1,416713.0
PI_533760,1,306112.0
PI_533761,1,767795.0
PI_533769,1,360646.0
PI_533785,1,246141.0
PI_533794,1,394553.0
PI_533799,1,816468.0
PI_533800,1,339050.0
PI_533824,1,624348.0
PI_533830,1,435427.0
PI_533833,1,1062939.0
PI_533841,1,769481.0
PI_533845,1,1066714.0
PI_533855,1,648887.0
PI_533869,1,749572.0
PI_533901,1,559198.0
PI_533919,1,1022574.0
PI_533921,1,855520.0
PI_533924,1,337840.0
PI_533936,1,530950.0
PI_533938,1,782859.0
PI_533939,1,770603.0
PI_533954,1,212474.0
PI_533955,1,254644.0
PI_533957,1,537989.0
PI_533961,1,426480.0
PI_533962,1,919382.0
PI_533964,1,1167127.0
PI_533965,1,776021.0
PI_533970,1,439204.0
PI_533972,1,244111.0
PI_533976,1,359001.0
PI_533985,1,592810.0
PI_533986,1,539422.0
PI_533987,1,1124643.0
PI_533989,1,619718.0
PI_533991,1,1060952.0
PI_534047,1,365956.0
PI_534054,1,864077.0
PI_534063,1,793980.0
PI_534099,1,758503.0
PI_534104,1,328467.0
PI_534105,1,808444.0
PI_534108,1,266527.0
PI_534114,1,1214532.0
PI_534123,1,260700.0
PI_534127,1,793484.0
PI_534157,1,304520.0
PI_534163,1,584711.0
PI_548797,1,982217.0
PI_552861,2,489121.5
PI_561072,1,366074.0
PI_561073,1,487933.0
PI_561472,1,593208.0
PI_564163,1,1205036.0
PI_564165,1,1047588.0
PI_565121,1,342439.0
PI_574455,1,549484.0
PI_576130,1,1065321.0
PI_576359,1,924901.0
PI_576364,1,630037.0
PI_576373,1,761818.0
PI_576375,1,1138000.0
PI_576376,1,111592.0
PI_576380,1,603102.0
PI_576387,1,746635.0
PI_576393,1,690107.0
PI_576394,1,1129610.0
PI_576425,1,558386.0
PI_576428,1,64965.0
PI_576435,1,668773.0
PI_576437,1,1144327.0
PI_595702,1,277839.0
PI_595718,1,902025.0
PI_595720,1,711705.0
PI_595739,1,759044.0
PI_597951,1,812853.0
PI_597957,1,381736.0
PI_597961,1,800384.0
PI_597964,1,829499.0
PI_597966,1,379802.0
PI_601816,1,815987.0
PI_609456,1,641498.0
PI_629040,1,268995.0
PI_642791,1,234274.0
PI_642793,1,202216.0
PI_642998,1,406204.0
PI_651496,1,611301.0
PI_655970,1,638457.0
PI_655973,1,760984.0
PI_655974,1,228637.0
PI_655976,1,375530.0
PI_655977,1,263388.0
PI_655978,1,1242015.0
PI_655979,1,383240.0
PI_655981,1,252374.0
PI_655993,1,545757.0
PI_655994,1,727457.0
PI_655995,1,631331.0
PI_656000,1,1690086.0
PI_656008,1,1282908.0
PI_656014,1,744794.0
PI_656016,1,295219.0
PI_656017,1,502752.0
PI_656018,1,550462.0
PI_656023,1,637208.0
PI_656024,1,321574.0
PI_656025,1,423435.0
PI_656027,1,961257.0
PI_656031,1,586208.0
PI_656032,1,572498.0
PI_656034,1,354692.0
PI_656036,1,776134.0
PI_656037,1,584370.0
PI_656043,1,635334.0
PI_656044,1,1285468.0
PI_656046,1,725937.0
PI_656048,1,491984.0
PI_656050,1,779566.0
PI_656052,1,331652.0
PI_656056,1,609682.0
PI_656057,1,513161.0
PI_656059,1,446724.0
PI_656068,1,538398.0
PI_656070,1,322780.0
PI_656074,1,605161.0
PI_656076,1,948073.0
PI_656085,1,350908.0
PI_656093,1,221077.0
PI_656106,1,200197.0
PI_656111,1,1286956.0
PI_656117,2,668965.0
PI_656118,1,575335.0
PI_656119,1,403066.0
PI_656120,1,768171.0
PI_659691,1,381905.0
PI_659694,1,981945.0
PI_659696,1,942335.0
